1394E.000192,,HL GM D2UC MCM
1394E.XXXXXX,,HL GM E2UL MCM
1394E.000251,,HL Renault HJE
1394E.000377,,Renault HHC
1394E.000365,,HL DPCA E43
1394E.000328,,RCL GM E2UB
1394E.000366,,RCL GM E2YB
1394E.000138,,RCL Volvo V331
1394E.000371,,HL AC00129318 GEELY AUTO. FE-7B
1394E.200846,,HL Tesla M3
1394E.200404,,RCL Tesla M3
1394E.000187,,Diamler X247 HL
1394P.000045,,L-RCL-Chery M31T
1394E.000357,,RCL VinFast Sedan
1394E.000358,,RCL VinFast SUV
1394P.000002,,HL S-GM D2UB NA Anthem
1394P.000003,,HL S-VW APR250 / New Polo FL
1394P.000004,,HL S-VW APR373_8 / A Plus
1394P.000005,,RCL S-GM D2UB NA Anthem
1394P.000006,,HL S-GM GMX354 / SGM E15
1394P.000007,,HL S-VW Superb NF
1394P.000008,,HL S-VW 411 35W
1394P.000009,,HL S-VW 411 LED
1394P.000010,,SFL GM C1UL DI
1394P.000011,,SFL GM C1UL PCL
1394P.000012,,SFL GM C1UL CHMSL
1394P.000013,,RCL Chery-Tata L538 16MY CT
1394P.000014,,RCL DONGFENG NISSAN L42N Part 1/Part 2
1394P.000015,,HL Renault HZH
1394P.000016,,RCL GM C1UL
1394P.000017,,HL GM C1UL_China
1394P.000018,,HL S-GM/S-VW E15
1394P.000019,,RCL GM O1SL
1394P.000020,,SFL GM 01SL RFL
1394P.000021,,SFL GM 01SL CHMSL
1394P.000022,,SFL GM 01SL RR
1394P.000023,,RCL GEELY AUTOMOTIVE Geely FE-5
1394P.000024,,RCL GEELY AUTOMOTIVE Geely KC-1B
1394P.000025,,RCL Jaguar X760 RCL  Part 1/Part 2
1394P.000026,,SFL DONGFENG NISSAN P32S foglamp
1394P.000032,,HL S-VW BSUV 416
1394P.000033,,HL S-GM D2UC
1394P.000034,,HL DongFeng DPCA AUTOMOTIVE DPCA C84
1394P.000035,,BtP-Intern SIECU 2 Nissan X02C
1394P.000036,,HL Jaguar X760 HL
1394P.000037,,HL S-GM D2UB MCM HL
1394P.000038,,RCL BYD Auto QIN
1394P.000039,,HL BYD Auto QIN
1394P.000040,,HL GM O1SL MCM HL
1394P.000041,,HL GEELY AUTOMOTIVE FE-6
1394P.000042,,HL Multiple Utilization/Customers
1394P.000043,,RCL Multiple Utilization/Customers
1394P.000044,,RCL GM O1SL MCM RCL
1394P.000046,,HL SVW-VW270_Polo NF
1394K.000003,,HL S-VW APR250 / New Polo FLL
1394K.000016,,RCL GM C1UL MCM
1394K.000021,,HL BAIC Auto C61X
1394K.000023,,RCL GEELY AUTOMOTIVE Geely FE-5 RCL
1394K.000024,,HL SAIC-GM D2UB MCM
1394K.000025,,RCL Geely KC-1B
1394K.000026,,HL Dongfeng PSA C84
1394K.000027,,CBL Laquer change for multiple projects
1394K.000028,,HL Laquer change for multiple projects
1394F.0029,,HBSL Support
1394F.0035.01,,HFL Support
1394F.0036.01,,HCL Support
1394F.0037.01,,General other laocation support
1394E.000337,,IL AC00190673 S-VW B MPV Reading Lamp
1394E.000368,,Vinfast Dome Lamp
1394E.200647,,HL CU6 GEELY AUTOMOTIVE Lb AC00204193
GEUse,,GE Use
1394E.200785,,IL SAIC IM31 AC00206352
1394E.200863,,KX11 RCL
Support IL,,Support IL
1394E.201297,,Volvo K431 HL
HL Benchmark,,HL Benchmark
1394M.000001,,BAIC MLS Bi-LED 3.0
1394E.000400,,BMW G2X HL
1110E.000446,,BMW G08 RCL
1394M000001,,BI-LED3 Audi Q5
